Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
2016-02-17,102.75,103.24,102.23,102.5,8903978.0,2.8012092783390425,106.86691855667809,95.66208144332191,102.32,101.82,101.7,101.97,102.37,102.01399999999994,102.26199999999997,101.2645,101.36379999999996,99.20340000000002,102.19255706657094,102.19255706657094,102.19255706657094,102.19255706657094,102.19255706657094,0.5053136562459315,0.46242430690419395,1.9037103884423878,17.6310077926803,1333.3333333333333,-0.8799922638042711,54.857171233467916,-45.654345654345626,54.34565434565437,0.0026840857075531603,1602716.0400000608,44519890.0,2016-02-17,17,2,48,7,0,0,0,0,0,0,1,2016,2,102.5,100.23,98.02,96.32,98.83600000000011,100.61900000000003,106.15199999999999,1926.8199,1895.58,1852.21,16453.8301,16196.4102,16014.3799,104.24
2016-02-18,102.83,104.6767,102.5,104.24,10743141.0,2.5539296862101457,106.79685937242029,96.5811406275797,102.5,102.32,101.82,101.73,102.75,102.51599999999993,102.27199999999996,101.689,101.38959999999996,99.22285000000004,102.87503804438063,102.87503804438063,102.87503804438063,102.87503804438063,102.87503804438063,0.6487362427457697,0.4996866940725091,1.9232096464107884,17.18265396925594,1333.3333333333333,0.09602458229306157,61.09799909255178,-10.889110889110933,89.11088911088908,0.007009115356022495,18693065.339999944,91209267.08999994,2016-02-18,18,3,49,7,0,0,0,0,0,0,1,2016,2,101.33,102.5,100.23,96.69,98.80300000000013,100.64800000000002,105.87579999999998,1917.83,1926.8199,1851.86,16413.4297,16453.8301,15914.7402,104.16
2016-02-19,103.58,104.68,103.38,104.16,9342898.0,2.219589815116452,106.53917963023288,97.66082036976708,104.24,102.5,102.32,101.7,102.83,103.00799999999992,102.29799999999997,102.09999999999998,101.40639999999996,99.24615000000003,103.30335869625377,103.30335869625377,103.30335869625377,103.30335869625377,103.30335869625377,0.7473295940747562,0.5492152740729586,1.8786946716671615,16.768185868282565,1333.3333333333335,0.2502406159768921,60.68262138100787,-12.487512487512499,87.5124875124875,0.0070993841257534305,-747431.839999984,76798621.55999999,2016-02-19,19,4,50,7,0,0,0,0,0,0,1,2016,2,101.63,101.33,102.5,96.55,98.80100000000013,100.68700000000004,105.61599999999999,1917.78,1917.83,1829.08,16391.9902,16413.4297,15660.1797,104.75
2016-02-22,104.44,104.75,104.05,104.75,6946966.0,1.9029755094257061,106.30595101885139,98.69404898114855,104.16,104.24,102.5,101.82,103.58,103.59399999999991,102.71899999999997,102.49999999999997,101.45299999999996,99.27405000000005,103.78557246416918,103.78557246416918,103.78557246416918,103.78557246416918,103.78557246416918,0.8631240477476183,0.6119970288078905,1.7945021951195075,16.42552664372512,1333.3333333333333,4.187388104237113,62.696848477222964,-0.0,100.0,0.006802967013015615,4098709.9400000237,55575728.0,2016-02-22,22,0,53,8,0,0,0,0,0,0,1,2016,2,103.28,101.63,101.33,98.02,99.31700000000014,100.66250000000005,105.38899999999998,1945.5,1917.78,1864.78,16620.6602,16391.9902,15973.8398,104.08
2016-02-23,104.65,104.79,103.96,104.08,6628480.0,1.2802606642482892,105.44452132849655,100.3234786715034,104.75,104.16,104.24,102.32,104.44,103.94599999999991,102.92699999999995,102.88399999999997,101.49159999999996,99.29615000000005,103.88371497611278,103.88371497611278,103.88371497611278,103.88371497611278,103.88371497611278,0.8905627331295136,0.6677101696722152,1.7256091811824008,16.034184347263754,1333.3333333333335,2.0392156862745083,59.00038676393993,-14.17165668662689,85.82834331337311,0.008738400625927928,-4441081.600000012,50906726.399999954,2016-02-23,23,1,54,8,0,0,0,0,0,0,1,2016,2,101.58,103.28,101.63,100.23,99.81300000000013,100.63000000000004,105.16279999999998,1921.27,1945.5,1895.58,16431.7793,16620.6602,16196.4102,104.96
2016-02-24,103.34,105.075,102.97,104.96,9072927.0,1.2944013044039155,105.6618026088078,100.48419739119215,104.08,104.75,104.16,102.5,104.65,104.43799999999992,103.22599999999996,103.07299999999998,101.53799999999995,99.31360000000004,104.24247665074186,104.24247665074186,104.24247665074186,104.24247665074186,104.24247665074186,0.9721108458004579,0.7285903048978638,1.7527085253836583,14.896026317675904,1333.3333333333335,2.9322349710699176,62.1563106657991,-2.1718602455148073,97.82813975448519,0.008926113605656337,7984175.759999959,34295664.05999988,2016-02-24,24,2,55,8,0,0,0,0,0,0,1,2016,2,102.55,101.58,103.28,102.5,100.43600000000015,100.60000000000005,104.94579999999998,1929.8,1921.27,1926.8199,16484.9902,16431.7793,16453.8301,106.38
2016-02-25,104.95,106.39,104.77,106.38,8092367.0,1.469806288704835,106.22361257740967,100.34438742259032,104.96,104.08,104.75,104.24,103.34,104.86599999999991,103.69099999999995,103.28399999999999,101.63199999999995,99.34035000000006,104.95498443382792,104.95498443382792,104.95498443382792,104.95498443382792,104.95498443382792,1.1381999842657393,0.8105122407714389,1.7432293449991116,14.714654747411984,1333.3333333333333,4.570923031554106,66.62117405356082,-0.15128593040854943,99.84871406959145,0.007813143547892146,11491161.140000014,34149788.73999999,2016-02-25,25,3,56,8,0,0,0,0,0,0,1,2016,2,103.56,102.55,101.58,101.33,101.12300000000013,100.74900000000005,104.8012,1951.7,1929.8,1917.83,16697.2891,16484.9902,16413.4297,105.78
2016-02-26,106.82,106.92,105.42,105.78,9049441.0,1.549738432938553,106.55897686587711,100.3600231341229,106.38,104.96,104.08,104.16,104.95,105.18999999999991,104.09899999999993,103.4595,101.70459999999996,99.36690000000004,105.22998962255195,105.22998962255195,105.22998962255195,105.22998962255195,105.22998962255195,1.20749261429674,0.8899083154764992,1.725855820356318,14.862761312741696,1333.3333333333335,4.011799410029497,63.22677182005769,-16.426512968299726,83.57348703170028,0.008811653365807231,-5429664.599999948,31763537.910000045,2016-02-26,26,4,57,8,0,0,0,0,0,0,1,2016,2,103.43,103.56,102.55,101.63,101.81100000000015,100.82050000000004,104.63719999999999,1948.05,1951.7,1917.78,16639.9707,16697.2891,16391.9902,105.21
2016-02-29,105.28,106.2,105.04,105.21,10103370.0,1.5845524023490056,106.66710480469801,100.328895195302,105.78,106.38,104.96,104.75,106.82,105.28199999999993,104.43799999999995,103.498,101.72619999999995,99.39020000000004,105.22332641503463,105.22332641503463,105.22332641503463,105.22332641503463,105.22332641503463,1.2025510268361757,0.9524368577484345,1.6854375474737235,14.686854775477258,1333.3333333333333,3.3294048320565715,60.09426284849167,-24.63976945244969,75.36023054755032,0.00938246046898082,-5758920.900000075,7779594.899999959,2016-02-29,29,0,60,9,1,0,0,0,0,0,1,2016,2,102.5,103.43,103.56,103.28,102.25900000000016,100.73900000000003,104.44099999999999,1932.23,1948.05,1945.5,16516.5,16639.9707,16620.6602,107.22
2016-03-01,105.9,107.24,105.44,107.22,8298471.0,1.782843603850329,107.20618720770067,100.07481279229934,105.21,105.78,106.38,104.08,105.28,105.90999999999993,104.92799999999995,103.6405,101.76559999999996,99.41715000000003,105.88888427668977,105.88888427668977,105.88888427668977,105.88888427668977,105.88888427668977,1.345317007864665,1.0310128877716807,1.7100491512256006,15.14735219513309,1333.3333333333333,4.788897576231436,66.41346687343768,-0.27548209366385734,99.72451790633615,0.011176266513120604,16679926.710000042,23650642.349999953,2016-03-01,1,1,61,9,0,1,0,0,0,0,1,2016,3,105.79,102.5,103.43,101.58,102.81500000000014,100.80800000000002,104.2772,1978.35,1932.23,1921.27,16865.0801,16516.5,16431.7793,107.04
2016-03-02,106.91,107.41,106.43,107.04,9766929.0,1.9363111972594127,107.69462239451883,99.94937760548117,107.22,105.21,105.78,104.96,105.9,106.32599999999991,105.38199999999995,103.822,101.83359999999995,99.44085000000004,106.2725895177932,106.2725895177932,106.2725895177932,106.2725895177932,106.2725895177932,1.4274804743927945,1.1103064050959035,1.6579027832809141,15.672120604548125,1333.3333333333335,4.4292682926829325,65.41447482850245,-4.979811574697049,95.02018842530295,0.011535558932147003,-1758047.2199999278,35453952.27000009,2016-03-02,2,2,62,9,0,0,0,0,0,0,1,2016,3,105.83,105.79,102.5,102.55,103.14800000000014,100.99200000000003,104.1474,1986.45,1978.35,1929.8,16899.3203,16865.0801,16484.9902,106.65
2016-03-03,106.82,107.0,105.63,106.65,6927155.0,2.036743724674419,108.02098744934885,99.87401255065119,107.04,107.22,105.21,106.38,106.91,106.37999999999991,105.62299999999996,103.94750000000002,101.92759999999994,99.45700000000006,106.39839301186214,106.39839301186214,106.39839301186214,106.39839301186214,106.39839301186214,1.4444748658391262,1.177140097244548,1.6401954416179925,15.456073784188744,1333.3333333333335,2.3119723714505094,63.19640587371952,-11.360239162929615,88.6397608370704,0.010493000372870627,-2701590.450000004,17387159.050000034,2016-03-03,3,3,63,9,0,0,0,0,0,0,1,2016,3,105.63,105.83,105.79,103.56,103.57800000000016,101.19050000000003,104.0634,1993.4,1986.45,1951.7,16943.9004,16899.3203,16697.2891,106.5
2016-03-04,106.51,106.98,106.07,106.5,6715568.0,2.1150236405299703,108.30754728105995,99.84745271894008,106.65,107.04,107.22,105.78,106.82,106.52399999999992,105.85699999999994,104.07750000000001,102.02599999999995,99.46970000000006,106.43226200790811,106.43226200790811,106.43226200790811,106.43226200790811,106.43226200790811,1.4293624959940843,1.2275845769944553,1.5880386243595652,15.25545887956932,1333.3333333333335,2.246543778801847,62.3211242735213,-15.798611111111077,84.20138888888893,0.010029094266080027,-1007335.2000000381,17460476.799999963,2016-03-04,4,4,64,9,0,0,0,0,0,0,1,2016,3,105.67,105.63,105.83,103.43,103.98200000000016,101.39150000000002,103.9558,1999.99,1993.4,1948.05,17006.7695,16943.9004,16639.9707,106.74
2016-03-07,106.0,106.9196,105.49,106.74,6973441.0,2.021544159664685,108.43058831932937,100.34441168067063,106.5,106.65,107.04,105.21,106.51,106.8299999999999,106.05599999999995,104.3875,102.10659999999994,99.48540000000008,106.53484133860542,106.53484133860542,106.53484133860542,106.53484133860542,106.53484133860542,1.4203785880414728,1.266143379203859,1.576721579762454,14.559761276154314,1333.3333333333333,1.8997613365155084,63.1993686050364,-12.934362934362985,87.06563706563702,0.009291576448459352,1673625.8399999642,43235334.19999992,2016-03-07,7,0,67,10,0,0,0,0,0,0,1,2016,3,105.02,105.67,105.63,102.5,104.15600000000015,101.73650000000002,103.82060000000001,2001.76,1999.99,1932.23,17073.9492,17006.7695,16516.5,106.22
2016-03-08,106.52,106.77,105.965,106.22,7576842.0,1.9790169675612923,108.55653393512257,100.6404660648774,106.74,106.5,106.65,107.22,106.0,106.62999999999991,106.26999999999995,104.59849999999999,102.16119999999995,99.50440000000009,106.42989422573696,106.42989422573696,106.42989422573696,106.42989422573696,106.42989422573696,1.3556717816621813,1.2840490596955234,1.5215986097794212,13.913756358697523,1333.3333333333335,2.0561106840891625,59.939448562028964,-24.23625254582482,75.76374745417517,0.002711551542477145,-3939957.83999997,31974273.23999999,2016-03-08,8,1,68,10,0,0,0,0,0,0,1,2016,3,104.15,105.02,105.67,105.79,104.41300000000017,102.11300000000003,103.65140000000001,1979.26,2001.76,1978.35,16964.0996,17073.9492,16865.0801,106.84
2016-03-09,106.84,107.02,106.09,106.84,7564004.0,1.937756706254009,108.71751341250803,100.966486587492,106.22,106.74,106.5,107.04,106.52,106.58999999999992,106.45799999999994,104.84200000000001,102.22359999999995,99.5318500000001,106.5665961504913,106.5665961504913,106.5665961504913,106.5665961504913,106.5665961504913,1.3389850042235594,1.2950362486011306,1.479341566223748,13.520936059471932,1333.3333333333333,1.791158536585375,62.42791901058654,-12.837837837837691,87.1621621621623,0.004400677221028966,4689682.480000034,36836699.480000034,2016-03-09,9,2,69,10,0,0,0,0,0,0,1,2016,3,104.82,104.15,105.02,105.83,104.64000000000017,102.53800000000004,103.49600000000001,1989.26,1979.26,1986.45,17000.3594,16964.0996,16899.3203,107.14
2016-03-10,106.99,107.48,106.07,107.14,10474747.0,1.856368483725493,108.82523696745098,101.39976303254902,106.84,106.22,106.74,106.65,106.84,106.68799999999992,106.53399999999996,105.1125,102.30199999999995,99.5634500000001,106.7577307669942,106.7577307669942,106.7577307669942,106.7577307669942,106.7577307669942,1.3345838537605488,1.3029457696330145,1.4743885972077668,13.53105986377261,1333.3333333333335,0.7144200037601101,63.605959157809586,-7.538802660753948,92.46119733924604,0.004137466109817605,3142424.0999999703,56668381.269999966,2016-03-10,10,3,70,10,0,0,0,0,0,0,1,2016,3,104.66,104.82,104.15,105.63,104.75000000000018,102.93650000000002,103.3386,1989.5699,1989.26,1993.4,16995.1309,17000.3594,16943.9004,107.71
