Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
2016-02-17,58.6,58.6,57.1,58.17,10332598.0,2.501092971610924,64.35868594322183,54.354314056778136,57.79,56.42,56.0,55.68,57.57,57.15800000000007,57.63400000000003,59.35649999999998,79.53600000000006,106.39270000000005,57.47147534997938,57.47147534997938,57.47147534997938,57.47147534997938,57.47147534997938,-5.110047241295263,-6.524195206698935,2.3137282723875785,52.748775255804084,1333.3333333333335,-7.002398081534765,35.2279716045693,-54.05679513184583,45.943204868154176,0.021535190243419322,3926387.2400000263,-1549889.6999999853,2016-02-17,17,2,48,7,0,0,0,0,0,0,1,2016,2,102.5,100.23,98.02,96.32,98.83600000000011,100.61900000000003,106.15199999999999,1926.8199,1895.58,1852.21,16453.8301,16196.4102,16014.3799,58.6
2016-02-18,58.17,58.96,57.98,58.6,9658603.0,2.505953910192681,64.34640782038534,54.32259217961462,58.17,57.79,56.42,57.41,58.6,57.39600000000007,57.245000000000026,59.33449999999998,78.06140000000006,106.18155000000003,57.84765023331959,57.84765023331959,57.84765023331959,57.84765023331959,57.84765023331959,-4.702537884073685,-6.159863742173885,2.2184619672170376,51.53038945936447,1333.3333333333335,-6.224995999359898,36.643286611198064,-49.695740365111554,50.304259634888446,0.01772820620391674,4153199.2899999972,-4249785.319999978,2016-02-18,18,3,49,7,0,0,0,0,0,0,1,2016,2,101.33,102.5,100.23,96.69,98.80300000000013,100.64800000000002,105.87579999999998,1917.83,1926.8199,1851.86,16413.4297,16453.8301,15914.7402,59.31
2016-02-19,58.5,59.31,57.63,59.31,10079486.0,2.4893131582848302,64.25062631656964,54.29337368343032,58.6,58.17,57.79,56.0,58.17,58.05800000000007,57.15900000000003,59.27199999999998,76.61560000000006,105.97600000000004,58.3351001555464,58.3351001555464,58.3351001555464,58.3351001555464,58.3351001555464,-4.273035819195542,-5.782498157578217,2.1800003981301064,50.199578093773766,1333.3333333333335,-1.4292836961941158,39.012903561516346,-42.49492900608517,57.50507099391483,0.007430706539435845,7156435.060000009,-12599357.5,2016-02-19,19,4,50,7,0,0,0,0,0,0,1,2016,2,101.63,101.33,102.5,96.55,98.80100000000013,100.68700000000004,105.61599999999999,1917.78,1917.83,1829.08,16391.9902,16413.4297,15660.1797,60.17
2016-02-22,59.65,60.475,59.26,60.17,11523396.0,2.470163589300259,64.17682717860049,54.29617282139946,59.31,58.6,58.17,56.42,58.5,58.80800000000007,57.459000000000024,59.23649999999998,75.18500000000006,105.77575000000003,58.946733437030936,58.946733437030936,58.946733437030936,58.946733437030936,58.946733437030936,-3.819231798915567,-5.389844885845687,2.11107179826367,48.311681241173,1333.3333333333333,5.247507433968865,41.849912262391804,-33.77281947261662,66.22718052738338,0.007124560036793191,9910120.559999993,-8181611.160000009,2016-02-22,22,0,53,8,0,0,0,0,0,0,1,2016,2,103.28,101.63,101.33,98.02,99.31700000000014,100.66250000000005,105.38899999999998,1945.5,1917.78,1864.78,16620.6602,16391.9902,15973.8398,60.21
2016-02-23,60.26,60.74,59.89,60.21,7504589.0,2.4572804822467984,64.12656096449358,54.29743903550638,60.17,59.31,58.6,57.79,59.65,59.292000000000066,57.976000000000035,59.211999999999975,73.81240000000007,105.56955000000002,59.36782229135396,59.36782229135396,59.36782229135396,59.36782229135396,59.36782229135396,-3.4169724462869198,-4.9952703979339335,2.0209952412448366,46.41231875720765,1333.3333333333335,9.393168604651166,41.98509105056875,-29.04967602591791,70.9503239740821,0.005363886904606205,300183.5599999936,-3677248.610000015,2016-02-23,23,1,54,8,0,0,0,0,0,0,1,2016,2,101.58,103.28,101.63,100.23,99.81300000000013,100.63000000000004,105.16279999999998,1921.27,1945.5,1895.58,16431.7793,16620.6602,16196.4102,60.4
2016-02-24,59.74,60.695,59.2,60.4,10390788.0,2.4334300569597795,64.04336011391955,54.30963988608043,60.21,60.17,59.31,58.17,60.26,59.738000000000056,58.448000000000036,59.17649999999999,72.44760000000007,105.35935000000003,59.71188152756931,59.71188152756931,59.71188152756931,59.71188152756931,59.71188152756931,-3.0477154327312945,-4.605759404893406,1.983424152584491,44.896602562106885,1333.3333333333335,8.47701149425287,42.66686772195116,-20.65727699530515,79.34272300469485,0.005828654607520075,1974249.7199999765,-7377459.480000009,2016-02-24,24,2,55,8,0,0,0,0,0,0,1,2016,2,102.55,101.58,103.28,102.5,100.43600000000015,100.60000000000005,104.94579999999998,1929.8,1921.27,1926.8199,16484.9902,16431.7793,16453.8301,62.38
2016-02-25,60.68,62.38,60.6299,62.38,8523728.0,2.5362389788631368,64.38897795772627,54.24402204227373,60.4,60.21,60.17,58.6,59.74,60.49400000000005,58.945000000000036,59.3165,71.16940000000007,105.15730000000003,60.60125435171288,60.60125435171288,60.60125435171288,60.60125435171288,60.60125435171288,-2.5657309869799505,-4.197753721310715,1.9831795702570274,42.55510896932542,1333.3333333333333,8.657028392266167,49.34725690218106,-0.0,100.0,0.012676473443916167,16876981.440000035,23866438.400000036,2016-02-25,25,3,56,8,0,0,0,0,0,0,1,2016,2,103.56,102.55,101.58,101.33,101.12300000000013,100.74900000000005,104.8012,1951.7,1929.8,1917.83,16697.2891,16484.9902,16413.4297,62.6
2016-02-26,62.64,63.49,62.4657,62.6,8895227.0,2.609229115841947,64.60495823168388,54.168041768316094,62.38,60.4,60.21,59.31,60.68,61.15200000000006,59.60500000000004,59.38649999999999,69.86420000000007,104.95845000000003,61.267502901141924,61.267502901141924,61.267502901141924,61.267502901141924,61.267502901141924,-2.1413188886051984,-3.786466754769612,1.9208096009529538,39.8283828593702,1333.3333333333335,11.785714285714288,50.04376784481621,-9.035532994923862,90.96446700507613,0.013330932142767218,1956949.93999999,12453317.799999988,2016-02-26,26,4,57,8,0,0,0,0,0,0,1,2016,2,103.43,103.56,102.55,101.63,101.81100000000015,100.82050000000004,104.63719999999999,1948.05,1951.7,1917.78,16639.9707,16697.2891,16391.9902,61.59
2016-02-29,62.46,62.68,61.58,61.59,7716217.0,2.588611647808122,64.54272329561623,54.18827670438374,62.6,62.38,60.4,60.17,62.64,61.43600000000005,60.12200000000005,59.36549999999998,68.52380000000007,104.75560000000003,61.37500193409462,61.37500193409462,61.37500193409462,61.37500193409462,61.37500193409462,-1.8649695934272046,-3.402167322501131,1.8621803437420288,37.67865987102471,1333.3333333333333,9.16341722793336,46.85815128117112,-20.629750271444063,79.37024972855593,0.01762545850610494,-7793379.169999985,-3240811.139999958,2016-02-29,29,0,60,9,1,0,0,0,0,0,1,2016,2,102.5,103.43,103.56,103.28,102.25900000000016,100.73900000000003,104.44099999999999,1932.23,1948.05,1945.5,16516.5,16639.9707,16620.6602,62.92
2016-03-01,61.97,63.1,61.75,62.92,7433722.0,2.5705892730143227,64.49467854602862,54.212321453971335,61.59,62.6,62.38,60.21,62.46,61.97800000000005,60.63500000000005,59.35349999999998,67.16360000000007,104.55300000000003,61.89000128939642,61.89000128939642,61.89000128939642,61.89000128939642,61.89000128939642,-1.5211065320378623,-3.0259551644084777,1.8370246049033123,35.464701611448966,1333.3333333333335,8.87696833362174,51.258223499345455,-7.037037037037039,92.96296296296296,0.01884155035837513,9886850.259999987,-1784093.279999962,2016-03-01,1,1,61,9,0,1,0,0,0,0,1,2016,3,105.79,102.5,103.43,101.58,102.81500000000014,100.80800000000002,104.2772,1978.35,1932.23,1921.27,16865.0801,16516.5,16431.7793,62.22
