Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
2016-02-17,727.0,733.76,716.61,731.97,2457715.0,23.49734683231244,776.748193664625,682.7588063353753,717.64,706.89,706.36,701.02,718.65,713.9420000000002,715.806,729.7535000000001,746.7851999999996,669.0229750000005,718.8102141455734,718.8102141455734,718.8102141455734,718.8102141455734,718.8102141455734,-8.661928274117145,-8.22069135966676,23.29016892450097,22.507057108392694,1333.3333333333333,-6.267047419036757,50.37459521892777,-61.072152095994994,38.927847904005006,0.008956791543698602,35219055.9500001,31679946.349999968,2016-02-17,17,2,48,7,0,0,0,0,0,0,1,2016,2,102.5,100.23,98.02,96.32,98.83600000000011,100.61900000000003,106.15199999999999,1926.8199,1895.58,1852.21,16453.8301,16196.4102,16014.3799,717.51
2016-02-18,733.96,736.0,715.55,717.51,2363846.0,23.524829637507963,776.7506592750162,682.6513407249843,731.97,717.64,706.89,706.85,727.0,716.0740000000003,712.619,729.7010000000002,745.5511999999997,669.8463250000007,718.3768094303823,718.3768094303823,718.3768094303823,718.3768094303823,718.3768094303823,-8.360899583161768,-8.248733004365763,23.087299715608047,21.592562884940033,1333.3333333333333,-4.2528490218580695,45.67360818881876,-72.33909926757052,27.66090073242948,0.015599550294159189,-34181213.160000086,-2482038.2999998927,2016-02-18,18,3,49,7,0,0,0,0,0,0,1,2016,2,101.33,102.5,100.23,96.69,98.80300000000013,100.64800000000002,105.87579999999998,1917.83,1926.8199,1851.86,16413.4297,16453.8301,15914.7402,722.11
2016-02-19,715.9,724.03,713.12,722.11,1745940.0,23.577789749545506,776.6285794990912,682.3174205009092,717.51,731.97,717.64,706.36,733.96,719.2240000000003,711.827,729.4730000000002,744.5335999999998,670.7416500000005,719.6212062869215,719.6212062869215,719.6212062869215,719.6212062869215,719.6212062869215,-7.662818419784685,-8.131550087449547,22.217492593064613,20.84108345891581,1333.3333333333333,-1.084886922455236,47.35665119672044,-68.7548698768895,31.2451301231105,0.015491345915770519,8031324.00000004,-7961486.399999904,2016-02-19,19,4,50,7,0,0,0,0,0,0,1,2016,2,101.63,101.33,102.5,96.55,98.80100000000013,100.68700000000004,105.61599999999999,1917.78,1917.83,1829.08,16391.9902,16413.4297,15660.1797,729.05
2016-02-22,729.51,734.845,723.45,729.05,1875824.0,23.275762834468075,775.2040256689363,682.100974331064,722.11,717.51,731.97,706.89,715.9,723.6560000000002,714.356,728.6525000000001,743.6117999999998,671.7115000000006,722.7641375246144,722.7641375246144,722.7641375246144,722.7641375246144,722.7641375246144,-6.4749449337224405,-7.800229056704126,21.54017169356,19.60628577626093,1333.3333333333335,3.593554620893481,49.8794714938584,-63.347358578775165,36.652641421224835,0.015459577103628263,13018218.559999889,-30782271.840000153,2016-02-22,22,0,53,8,0,0,0,0,0,0,1,2016,2,103.28,101.63,101.33,98.02,99.31700000000014,100.66250000000005,105.38899999999998,1945.5,1917.78,1864.78,16620.6602,16391.9902,15973.8398,717.29
2016-02-23,726.1,730.9,715.67,717.29,2066566.0,23.37853095200326,774.5930619040066,681.0789380959936,729.05,722.11,717.51,717.64,729.51,723.5860000000004,715.6690000000001,727.8360000000001,742.7065999999998,672.5877500000005,720.9394250164096,720.9394250164096,720.9394250164096,720.9394250164096,720.9394250164096,-6.408605935426181,-7.521904432448538,21.089445144020004,18.80292409684995,1333.3333333333333,1.864633037945921,45.868157675913125,-67.7572655821605,32.2427344178395,0.01719482288605446,-24302816.15999998,-33747022.78000008,2016-02-23,23,1,54,8,0,0,0,0,0,0,1,2016,2,101.58,103.28,101.63,100.23,99.81300000000013,100.63000000000004,105.16279999999998,1921.27,1945.5,1895.58,16431.7793,16620.6602,16196.4102,720.9
2016-02-24,710.61,721.22,702.02,720.9,1854612.0,23.383427391617293,773.9583547832348,680.4246452167655,717.29,729.05,722.11,731.97,726.1,721.3720000000003,717.6569999999999,727.1915000000001,741.9237999999998,673.4475000000004,720.9262833442731,720.9262833442731,720.9262833442731,720.9262833442731,720.9262833442731,-5.995621182511172,-7.216647782461065,20.95448477659001,18.620144625295303,1333.3333333333335,2.8358677355852895,47.27002503890956,-38.494385576466904,61.505614423533096,0.013831650174307465,6695149.320000025,-23905948.679999974,2016-02-24,24,2,55,8,0,0,0,0,0,0,1,2016,2,102.55,101.58,103.28,102.5,100.43600000000015,100.60000000000005,104.94579999999998,1929.8,1921.27,1926.8199,16484.9902,16431.7793,16453.8301,729.12
2016-02-25,722.93,729.51,713.23,729.12,1807258.0,23.275906285709755,774.3203125714197,681.2166874285806,720.9,717.29,729.05,717.51,710.61,723.6940000000002,719.8839999999999,727.7685000000001,741.4977999999999,674.3642000000004,723.6575222295154,723.6575222295154,723.6575222295154,723.6575222295154,723.6575222295154,-4.948004966609005,-6.762919219290653,20.62059300683358,18.008062874089607,1333.3333333333335,3.150597722289026,50.418655654047214,-12.743100574180394,87.25689942581961,0.011132129171066246,14855660.76000005,20855757.319999933,2016-02-25,25,3,56,8,0,0,0,0,0,0,1,2016,2,103.56,102.55,101.58,101.33,101.12300000000013,100.74900000000005,104.8012,1951.7,1929.8,1917.83,16697.2891,16484.9902,16413.4297,724.86
2016-02-26,733.6,736.16,721.9392,724.86,2123690.0,22.772367436968462,772.1412348739372,681.0517651260633,729.12,720.9,717.29,722.11,722.93,724.2440000000001,721.7339999999999,726.5965000000002,740.7441999999999,675.2948500000003,724.0583481530103,724.0583481530103,724.0583481530103,724.0583481530103,724.0583481530103,-4.41066456991507,-6.292468289415537,20.16346493491689,17.093835581229502,1333.3333333333335,2.619061101987655,48.79258127147795,-20.867959372114424,79.13204062788559,0.011605228772459363,-9046919.39999998,-49779293.599999875,2016-02-26,26,4,57,8,0,0,0,0,0,0,1,2016,2,103.43,103.56,102.55,101.63,101.81100000000015,100.82050000000004,104.63719999999999,1948.05,1951.7,1917.78,16639.9707,16697.2891,16391.9902,717.22
2016-02-29,721.0,730.6,716.84,717.22,2253426.0,21.319343576348892,767.0286871526979,681.7513128473023,724.86,729.12,720.9,729.05,733.6,721.878,722.7669999999999,724.3900000000001,739.8867999999999,676.1835000000003,721.7788987686736,721.7788987686736,721.7788987686736,721.7788987686736,721.7788987686736,-4.548866087378201,-5.943747849008071,19.706074582422826,16.482291634293382,1333.3333333333337,1.4613306172106044,45.93151225919161,-39.739823751573546,60.260176248426454,0.011281261765820701,-17216174.63999997,-99443689.38,2016-02-29,29,0,60,9,1,0,0,0,0,0,1,2016,2,102.5,103.43,103.56,103.28,102.25900000000016,100.73900000000003,104.44099999999999,1932.23,1948.05,1945.5,16516.5,16639.9707,16620.6602,742.17
2016-03-01,721.3,742.33,718.64,742.17,3005553.0,18.86224270865195,760.684485417304,685.2355145826963,717.22,724.86,729.12,717.29,721.0,726.854,725.2199999999999,722.9600000000002,739.1984,677.1483500000004,728.5759325124491,728.5759325124491,728.5759325124491,728.5759325124491,728.5759325124491,-2.6149913094659496,-5.277996541099647,20.09206925510691,15.315049361960659,1333.3333333333333,3.4181483752299164,55.175367782988914,-0.3128666405946068,99.6871333594054,0.017804162511807213,74988547.3499998,-85958815.80000007,2016-03-01,1,1,61,9,0,1,0,0,0,0,1,2016,3,105.79,102.5,103.43,101.58,102.81500000000014,100.80800000000002,104.2772,1978.35,1932.23,1921.27,16865.0801,16516.5,16431.7793,739.48
